sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
52  In Da Getto	J Balvin	reggaeton	2021	2023‑04‑13	127	72	92	-3	11	64	131	2	5	70
53  These Days (feat. Bohemia)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	156	75	73	-4	28	69	209	9	15	70
54  Liggi	Ritviz	desi hip hop	2019	2023‑04‑13	102	67	79	-8	7	69	181	1	5	70
"55  Tip Tip (From ""Sooryavanshi"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	103	93	71	-2	13	48	250	4	6	70
"56  Mann Bharryaa 2.0 (From ""Shershaah"")"	B Praak	desi pop	2021	2023‑04‑13	91	47	43	-5	14	19	266	68	3	70
57  In The Bible (with Lil Durk & Giveon)	Drake	canadian hip hop	2021	2023‑04‑13	143	39	69	-8	13	15	297	61	30	69
58  Ma Belle	AP Dhillon	desi pop	2021	2023‑04‑13	97	31	91	-10	7	24	161	4	12	69
"59  Najaa (From ""Sooryavanshi"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	94	73	79	-5	8	70	191	8	5	69
60  Invincible (feat. Stefflon Don)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	108	67	77	-4	11	31	244	28	6	68
61  Bitch I'm Back	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	150	77	71	-4	85	79	230	20	10	68
62  Balam Pichkari	Pritam	desi pop	2013	2023‑04‑13	120	94	73	-4	40	96	289	21	9	68
63  Jug Jug Jeeve	Sachet Tandon	desi pop	2021	2023‑04‑13	90	63	56	-8	12	70	199	41	6	68
64  Lover	Diljit Dosanjh	desi pop	2021	2023‑04‑13	120	59	83	-6	7	77	190	20	11	68
65  Sakhiyan2.0	Maninder Buttar	desi hip hop	2021	2023‑04‑13	100	72	82	-5	21	40	178	18	5	68
"66  Humraah (From ""Malang - Unleash The Madness"")"	Sachet Tandon	desi pop	2020	2023‑04‑13	156	85	47	-4	13	28	300	18	6	67
67  US (feat. Raja Kumari)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	72	60	52	-6	11	60	230	66	4	67
68  Distance Love	Zehr Vibe	punjabi pop	2021	2023‑04‑13	88	56	74	-6	10	31	211	42	4	67
69  Aabaad Barbaad	Pritam	desi pop	2020	2023‑04‑13	118	52	63	-6	41	63	309	69	3	66
70  Udd Gaye	Ritviz	desi hip hop	2017	2023‑04‑13	145	82	60	-6	14	48	180	0	5	66
71  Paani Paani	Badshah	desi hip hop	2021	2023‑04‑13	105	58	89	-7	6	43	174	24	21	66
72  Lut Gaye	Jubin Nautiyal	desi pop	2021	2023‑04‑13	91	79	64	-3	25	52	228	19	4	66
73  GOAT	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	172	73	72	-4	12	47	215	5	22	65
74  Vaathi Coming	Anirudh Ravichander	desi hip hop	2020	2023‑04‑13	165	95	64	-4	6	59	228	28	25	65
75  Racks and Rounds (feat. Sikander Kahlon)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	88	84	66	-3	9	84	225	38	13	65
76  Burberry	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	151	74	68	-5	53	62	203	23	29	65
77  Shiv Tandav Stotram	Shankar Mahadevan	filmi	2018	2023‑04‑13	150	81	53	-5	20	45	553	44	4	65
78  Gallan Goodiyaan	Yashita Sharma	modern bollywood	2015	2023‑04‑13	120	86	83	-3	6	95	297	13	6	65
79  Dil Galti Kar Baitha Hai	Jubin Nautiyal	desi pop	2021	2023‑04‑13	92	78	61	-5	6	55	273	8	8	65
80  Chitta	Manan Bhardwaj	modern bollywood	2021	2023‑04‑13	170	49	41	-9	8	50	228	71	5	65
"81  Chitti (From ""Jathi Ratnalu"")"	Ram Miriyala	tollywood	2021	2023‑04‑13	208	68	57	-7	8	84	184	25	54	64
82  Fully Loaded	Tegi Pannu	punjabi pop	2021	2023‑04‑13	92	61	78	-7	10	86	149	9	13	64
83  Brown Shortie (feat. Sonam Bajwa)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	90	86	79	-4	34	85	208	25	22	64
84  G-Shit (feat. Blockboi Twitch)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	166	76	66	-7	22	84	234	5	26	64
"85  Ghalat Fehmi - From ""Superstar"""	Asim Azhar	pakistani pop	2019	2023‑04‑13	134	59	76	-8	19	80	286	61	9	64
86  Built Different	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	95	71	74	-3	30	78	248	14	5	64
87  Bolo Har Har Har (feat. Mohit Chauhan, Sukhwinder Singh, Badshah, Megha Sriram Dalton, Anugrah, Sandeep Shrivastava)	Mithoon	desi pop	2016	2023‑04‑13	140	81	60	-6	11	31	294	28	7	64
88  Moosedrilla (feat. DIVINE)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	138	83	71	-6	56	65	232	7	25	64
89  Kabhii Tumhhe	Javed-Mohsin	modern bollywood	2021	2023‑04‑13	97	34	57	-7	13	45	230	86	3	64
90  Libaas	Kaka		2020	2023‑04‑13	160	75	79	-3	12	91	267	54	6	64
91  MAJHE AALE	AP Dhillon	desi pop	2021	2023‑04‑13	93	50	87	-9	7	29	170	4	7	64
92  Waalian	Harnoor	desi pop	2020	2023‑04‑13	85	34	72	-10	7	27	206	12	14	64
93  Filhaal2 Mohabbat	B Praak	desi pop	2021	2023‑04‑13	85	58	57	-3	11	27	300	30	3	64
"94  Ghungroo (From ""War"")"	Vishal-Shekhar	desi pop	2021	2023‑04‑13	118	73	70	-6	53	87	303	7	3	63
95  Srivalli	Devi Sri Prasad	tollywood	2021	2023‑04‑13	107	58	82	-6	36	68	221	49	4	63
96  Guilty	Inder Chahal	desi hip hop	2021	2023‑04‑13	100	72	76	-7	11	46	178	7	12	62
